p,objID,run,camcol,field,ra,dec
0.7963662,(1237664338254431231,4392,4,211,180.8835849,37.63388202
0.79425645,(1237665128010023872,4576,3,493,193.2027073,34.39052766
0.78665143,(1237659327100421122,3225,6,197,242.6329896,44.65698019
0.7788396,(1237662224078537971,3900,2,543,216.1952755,34.9193725
0.7768923,(1237662193451467636,3893,1,155,180.9612717,41.57300443
0.7756478,(1237668365311739281,5330,1,37,234.2812653,14.09404283
0.77544916,(1237662262713975727,3909,2,249,232.7758755,6.120007168
0.7715802,(1237662533819564877,3972,3,32,228.7191723,10.5662972
0.7714901,(1237665097390555623,4569,2,221,144.5670951,27.51489742
0.7708593,(1237662305650410838,3919,2,47,208.4387328,39.19371576
0.76980597,(1237667912214905910,5224,5,376,212.5411983,23.10719917
0.76747435,(1237664338789270371,4392,5,180,175.0130851,37.57914971
0.7573976,(1237654600497497045,2125,2,328,168.0257572,4.094640057
0.7528685,(1237661150302569324,3650,2,22,188.0899299,49.31684474
0.75272334,(1237665127454278638,4576,2,205,143.302856,26.70369209
0.752487,(1237662306733851758,3919,4,195,233.7897987,31.19089204
0.7522953,(1237667431169590459,5112,5,239,145.1358487,22.61142631
0.75194794,(1237655369289433963,2304,2,218,191.5091565,61.74222947
0.7518778,(1237665582720746924,4682,2,204,256.8370871,42.8937891
0.7341409,(1237668623554774229,5390,2,161,198.0099959,16.44308215
0.73250145,(1237667733971534964,5183,1,342,183.8894205,21.49164801
0.72823954,(1237667322713670534,5087,3,117,168.4233919,26.11904879
0.72626466,(1237668757779253442,5421,4,264,313.1146199,-16.03769814
0.7241532,(1237665129619063704,4576,6,469,188.8696318,35.8341974
0.71453494,(1237651250440570124,1345,2,596,243.1919646,47.62084219
0.71449816,(1237661957762057439,3838,2,108,215.4298522,47.48655393
0.7074604,(1237671958594520130,6166,6,125,207.7510743,-1.775247043
0.70744514,(1237665180598338586,4588,5,111,223.2228094,27.31235104
0.705479,(1237667322709606611,5087,3,55,158.2906361,24.58775791
0.70395964,(1237658802040144741,3103,4,189,193.5618319,54.80230913
0.6979998,(1237658203984495426,2964,2,472,217.4323683,44.58355824
0.6932629,(1237659119331247025,3177,3,195,237.7428402,40.35640327
0.69153917,(1237658800418784220,3103,1,25,153.7324003,49.50559795
0.6905846,(1237665097390556015,4569,2,221,144.4774153,27.57184564
0.68597585,(1237664289934147646,4381,2,182,198.4309649,13.99499738
0.6843881,(1237665129088746401,4576,5,569,206.8800821,33.652067
0.6817524,(1237668297136341504,5314,2,147,199.4212362,18.78507018
0.67672837,(1237667430102860369,5112,3,346,162.4141833,25.6023842
0.6746275,(1237667783357563733,5194,5,249,150.5810104,19.50440889
0.67289215,(1237662195056247170,3893,4,66,163.1612857,40.67411995
0.66993785,(1237671260667773633,6004,2,208,147.1617783,13.39294973
0.66723466,(1237662500538352043,3964,5,105,228.6622949,43.94220967
0.66026473,(1237667735595778944,5183,4,550,217.0918322,19.57882563
0.65934664,(1237661852538372903,3813,6,154,169.3494554,45.05501423
0.6577705,(1237667910057329576,5224,1,222,187.4670795,23.869869
0.65764916,(1237664853650638296,4512,4,213,231.5693002,28.17158545
